[General]
Name|Vickie

[Dialogues]
0|Putain, soldat. Tu as vraiment pris tout ton temps, hein ? J'étais bien la seule personne avec qui tu voulais passer la saint-Valentin, non ?
1|Je te l'aurais peut-être dit si je n'étais pas restée debout dans le froid pendant une heure. Maintenant il va falloir que tu le mérites.
2|Ce n'est pas justement le principe de l'amitié ? Tout laisser tomber pour un ami dans le besoin, patati patata.
3|Appelle ça comme tu veux. Je ne suis pas trop fan de ce genre de connerie romantique. Nous sommes juste deux vieux amis qui passe ensemble des vacances pourries.
4|Et tu ne penses pas que nous avons tissés des liens lors de la dernière soirée ? Oh bébé, tu me fends le coeur. 
5|Je veux dire, le jacuzzi qui est juste là... Il ne te rappelle rien ? 
6|Sans aucun doute ! Et tu sais à quoi serve les amis ? Ils aident Vickie à entrer chez Madison parce qu'elle a perdu sa clé. N'est-ce pas amusant ? 

7|Pour nourrir son chat pendant qu'elle est dehors pour profiter de la saint-Valentin avec Ashley et ses autres amies célibataires. Arrête de poser des questions et aide-moi à trouver un moyen de d'entrer chez elle. 
8|Soldat, concentre-toi. Nous sommes dehors et nous devons aller à l'intérieur. Voit ce que tu peux faire. 
9|Hé, ça c'est une idée ! J'aime la façon dont tu improvises. Maintenant, grimpe là-haut et passe par une fenêtre. Ensuite, descend m'ouvrir la porte.
10|Sésame, ouvre-toi et on verra bien où ça nous mène... Je suppose que je vais remettre ça. Beau travail, soldat. Tu as escaladé ça comme un chaton de gouttière.
11|Hum, non. Il doit bien être caché quelque part. Rend-moi une faveur, retrouve le pour moi. Secoue cette herbe à chat et appâte-le via des "Viens ici, petit, petit, petit" jusqu'à ce qu'il sorte de son trou. Je vais aller à l'étage pour récupérer... d'autres trucs pour ce chat.
12|Sûre et certaine. Pas la peine de fouiller l'étage, parce qu'il a été scientifiquement prouvé que les chats ne montent pas les escaliers. C'est ce que cette Katherine m'a dit à la dernière soirée avec pleins de théories scientifiques. Bon, à toute suite.
13|Tu viens de me provoquer une crise cardiaque ! Qu'est-ce que je t'ai dit à propos de ne pas fouiller ici ?
14|Bon, Ok. Je ne peux pas garder ça secret plus longtemps... Tu as parcouru toute la maison en secouant un sac d'herbe détrempée que j'ai trouvée au travail. Il n'y a pas de chat ici et je n'ai même jamais eu la clé de chez Madison. Nous sommes des hors-la-loi ! Nous sommes entrés par effraction !
14.1|Laisse-moi voir ça.... Allergie... Bla bla bla. Ok, tu m'as démasqué. Il n'y a pas de chat ici et je n'ai même jamais eu la clé de chez Madison. Nous sommes des hors-la-loi ! Nous sommes entrés par effraction !
15|Parce que je savais que Madison et Ashley seraient à une soirée entre filles pour oublier le fait qu'elles n'ont pas de petit ami. C'était le moment idéal pour agir...
16|Attends, "Voler", tu y va un peu trop fort, là. Ashley vient juste de revenir du Colorado, et elle a remplis ses médias sociaux de photos d'elle avec des super goodies qu'elle a pris dans un dispensaire. Elle est revenue avec des paquets de friandises, si tu vois ce que je veux dire.
17|C'est exact ! Mais je suis prête à essayer et je veux que ma première fois soit avec des trucs venant d'un dispensaire. Je suppose que leurs produits seraient de meilleures qualités, tu comprends, plus pure...
18|Eh bien, tu as de la chance parce que nous ne sommes pas à la recherche de vulgaire joint. Tu peux en trouver facilement dans toute la ville. Là, je te parle de victuailles ! Tu ne fumes peut-être pas mais tu dois bien manger à un moment ou un autre, tout le monde mange.
19|Bon, je vais fouiller chaque centimètre carré de cette chambre, c'est l'endroit le plus probable. Pendant ce temps, va fouiller le reste de la maison.
20|Ha ! As-tu trouvé quelque chose ?
21|Arf, je sais. C'est la moitié de la raison pour laquelle je suis prête à essayer : afin que je puisse arrêter de ressembler à un amateur. J'ai arrêté le monde des amateurs il y a déjà des années. Alors aide-moi à trouver ces victuailles, ok ? Regarde s'il n'y a pas un indice qui traine... 
22|Je ne suis pas d'accord, chaton. Vu la façon dont tu as escaladé cette gouttière, je pourrais aussi bien t'appeler Halle Berry.
23|Tu réfléchis beaucoup trop. J'aime bien ta compagnie et tu n'as pas l'air d'être un gars qui fête la saint-Valentin. Je me suis dit que tu serais le partenaire parfait pour commettre un crime, mais aussi quelqu'un avec qui ma première fois pourrait ne pas être désastreuse. J'ai cru comprendre que tout est dans l'ambiance.
