[General]
Name|Brittney

[Dialogues]
0|
0.1|Maintenant que ton auto-visite est terminée, comment trouves-tu mon petit paradis en banlieue ? Et est-ce que tu aurais trouvé ma tablette ?
0.2|Maintenant que ton auto-visite est terminée, comment trouves-tu mon petit paradis en banlieue ?
0.3|Eh bien, en fait, j'espérais que c'était toi. Etais-tu tout seul là-bas ? J'ai entendu ta voix... Tu n'étais quand même pas en train de te parler à toi-même ?
0.4|Alors ?
1|A peine passé la porte que tu es déjà un héros ! Les soi-disant gentlemans de cette ville n'ont rien à voir avec ceux de ma ville natale. Ils se pointent sans même les avoir invités... Enfin, bref, passons. Suis-moi.
2|Oh ! Bénis soit-tu ! Pète un coup, ça ira mieux. Bref, rejoins-moi dans la cuisine.
3|Je dois garder un oeil sur le four. C'est une recette assez... spéciale. Peux-tu me rendre un service ? Ramène-moi ma tablette, elle doit trainer dans le salon. Je pense avoir suivi la recette à la lettre, mais... Ca ne semble pas digeste. Je voudrais vérifier que je n'ai rien oublié.
3.1|*Crie depuis une autre pièce* Je dois garder un oeil sur le four. C'est une recette assez... spéciale. Peux-tu me rendre un service ? Ramène-moi ma tablette, elle doit trainer dans le salon. Je pense avoir suivi la recette à la lettre, mais... Ca ne semble pas digeste. Je voudrais vérifier que je n'ai rien oublié.
4|Mazette, tu me fais rougir.
5|Fait ce que tu veux, mais ne monte pas à l'étage. Je n'ai pas envie de te retrouver le nez dans mes culottes.
5.1|*Crie depuis une autre pièce* Fait ce que tu veux, mais ne monte pas à l'étage. Je n'ai pas envie de te retrouver le nez dans mes culottes.
6|Eh bien, c'est curieusement spécifique comme question. Les seuls fantômes qui hantent ma maison sont ceux d'un simplet du passé. Si tu as entendu quelque chose d'étrange, je peux seulement supposer que Patrick est à proximité. Tu te souviens bien de lui lors de la dernière soirée chez Madison, non ? Il est tombé amoureux de moi depuis que j'ai accepté de garder son téléphone pour lui.
7|Mon chevalier en armure brillante ! J'y serais bien allée moi-même, mais ce plat... J'ai peur que si je m'éloigne ne serait-ce que 30 secondes, le plat va prendre ses jambes à son cou et se barrer du four ! Je rigole, mais garde tes distances, on ne sait jamais.
8|Ce que le Dr. Mobus nous a appris ! Tu devrais écouter un peu plus en cours. Ce qui me fait penser que tu devrais adorer ce que j'ai préparé pour ce soir. Et qui sait ? Si ça se trouve, je pourrais même voir ton esprit animal... Mais pas tout de suite. Allons à la cuisine. 
9|Ouais, ben comme mon père me l'a dit quand j'ai déménagé dans cette ville : "Brittney, tu dois saisir la vie à pleine main". Et donc, à chaque fois que Patrick s'approche trop près de moi, je lui choppe les testicules et le frappe avec un journal. Ca le fait toujours détaler ! Il est facile à gérer, à moins qu'il ne mette la main sur une bouteille...
10|J'aime croire que je suis une fille "manuelle". Je n'aurais peut-être dû ne pas lui rendre son téléphone quand j'y pense... Mais bon, puisque tu es là, tu ne voudrais pas t'en charger pour moi ? J'apprécierais vraiment.
11|Du moment que tu acceptes qu'il se les caille enfermé dehors pendant que nous savourons notre soirée, alors y'a aucun problème de mon point de vue...
12|Un homme qui n'a pas peur d'avoir les mains sales, ça c'est impressionnant de nos jours ! Voici un passe-partout. Je doute que Patrick ait le courage de rentrer chez moi, mais on ne sait jamais. Tu ne voudrais pas t'en charger pour moi ? J'apprécierais vraiment.
13|Cool Raoul. On n'a aucun intérêt à être déchiré avant même d'avoir mangé. Ca serait aussi utile qu'une paire de seins sur un taureau, de mon point de vue. En plus, je ne me souviens même pas où j'ai rangé cette clé.
14|Essaye d'imaginer ton oncle qui commence à avoir les mains baladeuses après quelques verres. 
15|Tu n'as jamais regretté d'avoir oublié de tourner 7 fois ta langue dans ta bouche avant de dire une connerie ? Parce que j'ai l'impression que tu devrais...
16|Eh ouais. Le Dr. Mobus m'a donné une chance de rattraper ma note. La matière qu'il enseigne n'est pas exactement ma tasse de thé, donc ça pourrait m'être utile. Tout ce que j'ai à faire, c'est de cuisiner une recette de son blog végan et de lui envoyer une photo du plat. Le pire, c'est que je ne suis pas végan ni même bonne cuisinière, donc ça risque d'être intéressant !
17|Je sais, mais c'est préférable à la première proposition du Dr. Mobus : il voulait que je lui envoi des photos de moi... Je ne sais pas trop pourquoi, mais de toute façon, je suis bien trop timide pour envoyer des selfies à n'importe qui. Je ne suis pas autant dévergondée que Madison... 
