[General]
Name|Patrick

[Dialogues]
0|
0.1|Oh, merde. Pas besoin de vous inquiéter, monsieur. Je suis ici pour des raisons professionnelles. Je représente la surveillance de quartier et Brittney, voyez-vous, elle a euh... Sa maison est souvent ciblée par des pervers... à cause de sa belle grosse paire de loches, n'est-ce pas ? Merde, j'assurais pas trop mal jusque-là.
0.2|Bienvenue dans mon bureau. Prends un siège. Tu as, euh, pu obtenir les photos demandées ?
0.3|Oh, merde. Pas besoin de vous inquiéter, monsieur. Je suis ici pour des raisons professionnelles. Je représente la surveillance de quartier et Brittney, voyez-vous, elle a euh... Sa maison est souvent ciblée par des pervers... à cause de sa belle grosse paire de loches, n'est-ce pas ? Merde, j'assurais pas trop mal jusque-là.
0.4|Oh, merde. Pas besoin de vous inquiéter, monsieur. Je suis ici pour des raisons professionnelles. Je représente la surveillance de quartier et Brittney, voyez-vous, elle a euh... Sa maison est souvent ciblée par des pervers... à cause de sa belle grosse paire de loches, n'est-ce pas ? Merde, j'assurais pas trop mal jusque-là.
0.5|N'essaye pas de rivaliser avec moi, je suis comme un ninja avec ma bite, tu comprends ? J'aime Brittney et je lui montrerais ma bite en mode ninja dès que je serais prêt, parce que c'est ça, l'amour.
1|Ecoute mec, rare sont ceux qui se font inviter à manger ou boire un coup chez la plus belle nana du quartier. Pour tous les autres, il faut bien qu'on puisse aussi s'amuser. De Plus, je suis ici pour des raisons professionnelles, c'est un site web qui m'envoi, donc cette séance de masturbation est parfaitement normale.
2|Je ne te l'ai peut-être pas dit à la dernière soirée, mais je suis une pointure sur le web. Tu es en train de parler au fondateur du site Neighborhoodwatch.com. Je suis sûr que tu en as déjà entendu parler. C'est un site ultra-connu !
3|Ben, c'est bien ça le problème : des bons samaritains venant du monde entier ont trouvé mon site, mais ont mal compris son message. Ils ont commencé à utiliser Neighborhoodwatch.com pour tout et n'importe quoi. Ce qui était autrefois le numéro un des sites de voyeur sur le web est maintenant rongé par un code moral. C'est pourquoi je suis ici.
4|Héhé, beaucoup de personne le pense, même ma mère, et pas plus tard qu'hier. Bref, que dirais-tu de faire un pacte avec le diable ?
5|Bon Dieu, on dirait une réunion des Alcooliques Anonymes. Sauf pour ce qui concerne Brittney, elle est vraiment trop sexy. Tiens, si tu m'aides, je peux t'aider à résoudre ces deux problèmes là.
6|Vraiment ? Tu vas laisser filer une possibilité en or comme celle-là ? Comme tu veux, après tout, je peux me débrouiller tout seul pour restaurer la gloire de mon site web. A t'chao bon dimanche.
7|Nous ne sommes pas des pervers, nous sommes des voyeurs, y a une grosse nuance. Mater des belles paires de fesses ne fait pas de toi un pervers. Regarde le personnage de la bande dessinée, tu sais, celui qui se tape tous ces chattes.
8|Brittney, c'est un bon coup. Elle est trop canon et je ne parle même pas de ses seins... Si je peux obtenir des photos d'elle les seins à l'air, je les poste direct sur la page de garde de mon site. Et c'est là que tu interviens....
9|Mais tout à fait. Si tu acceptes, et je suis sûr que tu vas accepter, je vais te prêter mon téléphone pour que tu puisses prendre les photos à ma place. Prends-en quelques-unes et je te devrais une énorme faveur. Tout ce que tu veux, sans exception. Alors qu'en dis-tu ?
10|Qu'est-ce que je peux t'offrir ? Ben, euh, ce qui fait tourner le monde, pardi ! Que dirais tu de 5000 balles si tu prends ces photos pour moi ? Et pour couronner le tout, je peux te filer un coup de main si tu galère à effectuer ta mission ce soir. J'ai tellement passé de temps à espionner Brittney que je dois mieux connaître sa maison qu'elle ! Alors, qu'en dis-tu ?
11|Trop cool ! Bon, ça va être facile. Voici mon téléphone, il a un appareil photo et il est déjà prêt à l'emploi. Dès que la situation devient intéressante, prends des photos et télécharge-les directement sur mon site web. Je compte sur toi, ne me laisse pas tomber.
12|Demande et je verrais ce que je peux faire pour toi.
13|Ha ! Je crois comprendre de quoi tu parles. Moi aussi, je peux sentir cette odeur infâme qui sort du four. La solution la plus simple étant généralement la meilleure, il te suffira donc de saboter ce plat en rajoutant un truc dedans. Regarde dans le garage si tu ne trouves pas ton bonheur.
14|Ah, oui. C'est probablement de ma faute. Je suis rentré chez Brittney pendant qu'elle était sortie et j'ai trouvé la clé du bar. Alors j'en ai profité pour me servir un verre. Bref, je t'épargne les détails, je me suis réveillé dans ce patio là-bas, sans pantalon. Je n'ai pas revu la clé depuis. Désolé, elle doit bien trainer quelque part.
