[General]
Name|Amy

[Dialogues]
0|Re bonsoir.
0.1|Oh, salut. Je suis Amy.
0.2|Ce feu de camp est tellement agréable !
0.3|Salut, toi. C'est sympa de te retrouver par ici...
1|C'est vraiment très mature...
2|Putain, merde alors. Pincez-moi, je rêve. Est-ce que c'est réellement arrivé ? C'est tellement dégueulasse. Berk.
3|Merci. Tout le plaisir est pour moi !
4|Je pense que je viens de perdre l'envie de vivre...
5|Désolé. Ce n'est pas ma tasse de thé.
6|Oh mon dieu, Je les adore ! Je les ai vu en concert la semaine dernière et ils étaient encore meilleurs que la semaine d'avant ! Es-tu également un fan ?
7|C'est Thirty Seconds to Mars, espèce d'inculte.  Brendon Urie chante pour Panic.  Pff, je déteste quand on me raconte des conneries juste pour essayer de me sauter. Va voir ailleurs si j'y suis.
8|Mouais, chacun le sien, ok ? Tant que tu ne les déteste pas, je ne vois pas pourquoi nous ne pourrions pas être amis.
9|Désolé, mais sans moi sur ce coup-là...
10|Tu sais quoi ?  Son petit frère vient d'être arrêté pour trafic de drogues ! C'est même passer aux infos. Pauvre Derek, il a dû payer sa caution et gérer toute cette situation. Le pire, c'est qu'il a pratiquement élevé son frère. Derek ne se sent vraiment pas bien avec tout ça.
11|Whoa ! Je pense que tu devrais t'allonger un peu...
12|Whoa Whoa Whoa. Désolé. Je ne voulais pas vous déranger. Je vais y aller maintenant....
13|C'est quoi ton problème ? Tu vas vraiment faire ça ici ?
14|Oh. Oui, j'étais perdue dans mes pensées. En fait, j'essaie de rejoindre une sororité depuis que j'ai emménagé dans cette ville. Comme initiation, elles me font faire une chasse au trésor, qui finit demain. Et comme j'ai encore pas mal d'éléments à trouver, je me demandais si je ne ferais pas mieux de m'éclipser de cette soirée afin de me remettre en chasse... Beaucoup d'éléments de cette liste sont... Comment dire... Gênant pour ainsi dire, et en plus, je ne connais pas grand monde ici.
15|Oh waouh. Alors ok. Je vais rester un peu plus ici et on verra bien ce que nous pouvons accomplir. Merci !
16|Voyons voir... Le premier élément qui me manque, c'est... Oh mon dieu, une carte de crédit expirée, et ça ne peut pas être la mienne... Tu comprends maintenant pourquoi je n'ose pas demander ça à des personnes que je viens tout juste de rencontrer ? Et c'est juste le moins gênant des éléments que je dois trouver !
17|Oh waouh, c'est tellement sympa de la part de Madison de me donner sa vielle carte de crédit ! Je suis tellement contente que les personnes présentes ici soient vraiment aussi cool !
18|Ok... alors l'élément suivant, c'est... un préservatif que je dois demander à un inconnu. Si c'est trop embarrassant pour toi, dis-le-moi, je comprendrais. Je pense que je mourrais si je devais faire ça moi-même.
19|Oh waouh ! Merci ! Je ne veux même pas savoir comment tu en as obtenu un !
20|Hum... laisse-moi réfléchir... Ah oui, je n'ai pas encore cet élément là... J'ai besoin de convaincre mon meilleur ami de sexe masculin d'enlever sa chemise et de me la donner... Et donc dans notre situation, il me faudrait la chemise de Derek. Comme il est vraiment timide, je doute que tu puisses y arriver...
21|C'est une bonne trouvaille ! Tu risques effectivement d'arriver à tes fins ! Bien sûr, je vais signer tout de suite !
22|Oh mon dieu, je n'arrive pas à croire que tu y sois arrivé ! C'est tellement impressionnant ! Et pour ne pas mentir, c'est assez plaisant.
23|Laisse-moi réfléchir... Ok, j'ai trouvé. Ce coup-ci ne sera pas facile. J'ai besoin d'une culotte. Ca ne peut pas être la mienne, et elle doit avoir été portée avant qu'on me la donne. Bonne chance...
24|Oh mon dieu, je n'arrive pas à croire que tu ais réellement réussi à m'en dégoter une. Tu commences limite à me faire peur... Au fait, qui portait cette culotte ? Non, en fait, je ne préfère pas savoir. Je suis en passe de finir cette chasse au trésor, et c'est tout ce qui compte. Je dois absolument garder mes idées claires !
25|Désolé, mais l'histoire s'arrête là pour le moment. La suite arrive bientôt !
26|Hum. Voyons-voir ce qu'il me reste à ramener... Merde, je ne sais pas lequel choisir... le peu de tâches qui me reste à faire sont de plus en plus perverses. Je veux vraiment entrer dans cette sororité, mais je ne suis pas sûr que ça en vaille la peine. Qu'en penses-tu ?
27|Tu sais quoi ? Tu as entièrement raison. C'est un peu idiot d'essayer si fort de s'intégrer à un groupe, maintenant que j'y pense... Ce n'est pas vraiment mon style. Je suis contente que nous ayons eu cette discussion. Je suis vraiment ravie de t'avoir rencontré.
