[General]
Name|Vickie

[Dialogues]
0|Salut. Comment ça va ?
0.1|J'ai l'impression que tu as bu un coup pour te détendre. C'est un bon début ! Mais n'en fait pas trop quand même...
1|Bah. Rien d'impressionnant. J'en ai déjà vu de plus grosse lors de tournage.
2|Ne me menace pas de prendre mon pied.
3|Hé ! Au moins préviens-moi ! Je n'ai pas eu le temps d'ouvrir la bouche...
4|Tu es bien conscient que des répliques d'approches comme celles-là ne fonctionnent que dans les films et jeux vidéo, n'est-ce pas ?
5|Oh, elle l'a fait, n'est-ce pas ? Rachael est encore étrange des fois, mais si tu l'avais connue au moment où j'ai fait sa connaissance... Bref, disons juste que j'ai le truc pour amener les filles sages comme Rachael à baiser leur garde pour prendre un peu de plaisir.
6|Est-ce vrai ? J'ai l'impression que tu m'offre ton aide. Crois-moi, je peux transformer cette soirée en orgie une fois que j'ai mis ma magie à l'oeuvre, mais j'ai besoin que le contexte s'y prête. Que dirais tu de m'aider à mettre l'ambiance et on verra ce que je peux faire ?
7|Que de mauvaises choses, j'espère...
8|Attention, soldat. Tout d'abord, les filles doivent se sentir à l'aise et t'apprécier un minimum. Donc évite de faire le pitre. Drague-les autant que tu peux jusqu'à ce qu'elles t'aiment bien. Préviens-moi dès que tu es prêt à passer à l'étape suivante avec l'une d'elle. Mais ne perd pas ton temps avec celles que tu as déjà offensées.
9|Parfait ! Qui passe à la casserole en première ?
10|Désolé, mais l'histoire s'arrête là pour le moment. Mais juste pour le moment !
11|Oh, comme c'est chou. Tu es un peu timide, n'est-ce pas ? Aucun problème. Je peux t'aider à améliorer ta confiance en toi avant que tu te lances.
12|Ok. Fait comme si j'étais une de ces filles-là. Montre-moi ce dont tu es capable.
12.1|Ok. Essaye encore...
13|S'il te plait... Ne redis jamais ça... A personne. Sérieusement.
14|Sérieusement ? Nous sommes à une putain de soirée. Tu n'es pas le bistrot du coin. Putain, tu as beaucoup de choses à apprendre... Tu as vraiment bien fait de me demander de l'aide. Oublie toutes tes phrases de drague. D'ailleurs est-ce que t'en as déjà vu une fonctionner ?
15|Ok. Ce n'est pas une phrase de drague. C'est déjà mieux. Mais on reste dans le niveau médiocre des romans interactifs mal traduis. Et si tu me disais un compliment pour voir ?
16|Waouh, ça c'était un superbe compliment. Il y a encore de l'espoir ! Voyons voir ce nouveau côté de toi en l'action. Certaines rumeurs de cette soirée me dissent qu'Ashley est énervé contre toi. Je ne suis pas sûr de ce que tu lui as fait, mais voyons voir si tu peux revenir dans ses bonnes grâces. Ensuite on s'attaquera à la partie intéressante de ta formation.
17|Eh bien, il est préférable que tu t'intéresses plus à celle avec qui tu parles et surtout, ne fait pas de commentaires sur leurs seins quand tu commences à peine à les draguer. Et pour répondre à ta question, oui.
18|En fait, je n'ai jamais touché à ces trucs-là, je ne suis pas un stéréotype ambulant, connard.
19|Bon travail, soldat ! Ton ami Derek à parier 5 balles que tu ne tiendrais pas. Contrairement à moi, je ne pense pas qu'il ne croit pas en toi. On va lui montrer ce que tu vaux. Pourquoi ne me rejoindrais-tu pas dans le jacuzzi pour que nous puissions continuer cette conversation plus confortablement... Et avec moins de fringues ? 
20|Ah, ces trucs-là ? Tu pourras remercier Rachael pour ça. Nos défis deviennent un peu déjantés parfois.
21|Enlève ton short. C'est un jacuzzi, on n'est pas à la piscine municipale ou à la plage.
22|Ok soldat. Avant de continuer, tu dois comprendre deux ou trois trucs. S'il y a bien une chose que je ne supporte pas, c'est bien les gars qui jouissent trop vite. Et j'ai l'impression que tu es sur le point de craquer depuis la seconde où tu as posé tes yeux sur moi... Et si je te faisais passer un test pour voir ton niveau ?
23|Whoa. Bon, je ne vais pas te mentir, c'était un peu pathétique. Tu as duré quoi ? 5 secondes ? On va avoir pas mal de pain sur la planche...
24|On ne peut pas dire que je manque d'expérience dans le domaine, vu que mon record est en moins de 3.6 secondes... Bref, ça te donne une idée de ton niveau. Si tu veux jouer dans la même cour que moi, il va falloir que tu sois vraiment plus endurant.
25|Avec Beaucoup de pratique ? Je n'ai pas la science infuse, mais ce qui est sût, c'est que tu es trop nerveux quand tu es près de moi. Essaye d'abord de te calmer. Quand tu seras prêt, reviens me voir que je vérifie si tu as fait des progrès.
