[General]
Name|Brittney

[Dialogues]
0|Re-bonjour. Comment ça va ?
0.1|Je suis un peu occupé en ce moment.
0.2|Oh, salut. Je ne crois pas que nous nous soyons déjà rencontrés. Je m'appelle Brittney.
1|Ouais, je sais. Eh bien, en fait... C'est un peu embarrassant. Je viens d'acheter ce nouveau haut, et comme ma poitrine est assez... enfin, tu vois ce que je veux dire. Bref, ça me gêne vraiment et je n'arrive pas à me convaincre de sortir de cette pièce.
2|Oh. Merci. Ca me remonte un peu le moral.
3|Épargne-moi ces railleries.
4|Je sais, je sais. Je n'arrive juste pas à me convaincre moi-même. Si seulement je pouvais être sûre que je ne serais pas au centre de l'attention, je pourrais me persuader de sortir.
5|Sans blague ! Comment as-tu réussi à faire ça ? En fait, ça n'a pas d'importance. Non seulement, plus personne ne fera attention à ma tenue, mais en plus, c'est tellement excitant. Si tu veux bien m'excuser, je vais aller danser !
6|C'est quoi ce bordel ? Pourquoi ferais-tu ça ? Éloigne-toi de moi, pervers !
7|Ce ne sont pas tes putains d'oignons, ok ?
8|Je ne pense pas que de te promener la bite à l'air puisse résoudre mon problème, mais j'apprécie quand même l'effort.
9|Ew, range ta bite, espèce de gros pervers !
10|Oh mon dieu. Qu'est-ce que tu viens de faire ? C'est quoi ton problème ? Pourquoi as-tu fait ça ?
11|Je n'ai pas d'extincteur, mais est-ce que je peux quand même t'incendier ?
12|Ah, tu veux parler du jeune attardé qui se promène ? Il m'a laissé son téléphone pour éviter qu'il ne le perde. Il est beaucoup plus intelligent que les gens ne veulent bien le croire.
13|Eh bien, n'est-ce pas pratique de connaître ses faiblesses ? De toute façon, je ne peux pas te donner son téléphone sans sa permission. Tu lui diras qu'il doit venir me le réclamer lui-même. Dans ce cas, je serai ravie de le lui rendre.
14|Attends trente secondes Patrick. Tu m'as clairement dit que je ne dois pas te rendre ton téléphone tant que tu n'es pas sobre. Et je n'ai pas l'impression que ce soit le cas.
15|Je suis désolé, mais je suis responsable de ce téléphone. Tu me l'as confié, et je ne te le rendrai que lorsque tu seras sobre, comme convenu.
16|Bien, j'ai l'impression que tu vas déjà beaucoup mieux, même si ce n'est pas facile de juger en raison de ton handicap. Comme tu ne sembles plus être en état d'ébriété, je peux te le rendre maintenant.
17|Hum... Non, désolé. Et tu ferais mieux d'aller voir un docteur.
18|Erf. Eloignes-toi de moi et ressaisis-toi.
19|Ew, c'est dégoûtant. Trouve un autre endroit pour faire ça !
20|Oh ! Je suis désolé ! Je ne savais pas que vous deux vous... Je suis vraiment désolé !
21|Eh bien, je ne signerai pas ta pétition sans savoir de quoi il s'agit ! Bref, quelle est son but ?
22|Hum, je pense que je ne signerais pas. Merci quand même de m'avoir demandé !
23|Bien sûr que je vais signer ! Non pas que je suis à l'aise avec ce genre de chose quand je dois le faire moi-même, mais j'aime regarder !
24|Je passe vraiment un bon moment ici à regarder cette jeune femme danser, mais je pourrais être persuadée de sortir pour faire trempette si les circonstances changent...
25|Oh mon dieu ! Quelle audace de poser une telle question à une dame ! Je suis désolé, mais je ne suis pas prête pour discuter de telles choses avec toi. Nous nous connaissons à peine !
26|Oh comme c'est divin. Je peux regarder Stephanie danser tout en profitant du jacuzzi. Merci d'avoir mis ça en place pour moi !
27|C'est un jacuzzi... C'est fait pour.
28|Oh, elle est tout simplement adorable, surtout son t-shirt bourdon. Je mentirais si je disais que je n'étais pas curieuse de voir ce qu'elle cache en dessous... Mais garde ça pour toi, ce sera juste être notre petit secret. *Rigole timidement*
29|Vraiment ? En supposant que je sois intéressée, que dois-je faire ?
30|Ah, cette ruse est plus vielle que Mathusalem... Je suis désolé, mais je ne vais pas tomber dans ton piège. Quoique, si jamais une telle ruse fonctionne... Disons simplement que si tu arrives à convaincre Amy de prendre un bain de minuit, alors j'en ferais autant.
31|Oh, comme c'est amusant. C'est mon tour... Je choisis : Vérité !
32|Toute cette discussion me met dans tous mes états... alors, Action !
33|Bon, d'accord. Mais seulement parce que ce jeu est m'excite tellement !
34|Ok... Je suppose que c'est acceptable vu que l'eau me cachera encore un peu...
35|Je dois l'admettre, ce jeu idiot est un peu plus émoustillant que je ne le pensais. Mais j'ai réussi à garder mon sang-froid...
