[General]
Name|Frank

[Dialogues]
0|Tout se passe pour le mieux ? Tu restes loin de l'alcool, j'espère ?
0.1|Comment va ? Attends, tu n'es pas ivre, j'espère ?
1|Tu es un homme mort, connard !
2|Parfait. Je suis en mode croisade contre l'ivresse : je ne supporte pas qu'on puisse se soûler pendant une soirée. C'est mon devoir civique de casser la gueule de n'importe qui que je vois avec un verre. Mon action contribue à rendre ce monde meilleur.
3|Elle est trop craquante. Je donnerais mon testicule gauche juste pour passer une seule nuit avec elle.
4|J'ai regroupé tout ce que j'ai pu trouver dans ce meuble. Comme ça c'est plus facile à surveiller pour moi. J'attends juste que quelqu'un daigne tenter quelque chose.
5|Je vais lui casser la gueule !
6|Hum. N'importe qui aurait pu prendre cette photo. Ca ne prouve rien. En fait, apporte-moi une photo de Katherine les seins à l'air et on en reparlera.
7|Waouh. Elle est vraiment très belle. Je veux un engagement total si je dois briser un de mes principes. Tu sais quoi ? Si tu me ramène une photo d'elle entièrement nue alors on pourra faire affaire.
8|Putain de merde ! Je ne pensais pas que tu y arriverais ! Et elle est super craquante. Par contre, désolé mais je ne peux pas te donner d'alcool. Je plaisantais tout à l'heure. Si je fais une exception pour toi, je devrais en faire une pour tout le monde. Je suis sûr que tu me comprends.
9|Range ça, merde ! C'est quoi ton problème ?
10|Je t'ai entendu, connard ! Tu es un homme mort !
11|Hé, connard ! Je t'ai vu avec cette bouteille ! Tu es un homme mort !
12|C'est quoi ce bordel ? Tu m'as menti tout ce temps ? Je vais te casser la gueule !
13|Oh non, tu n'as pas osé faire ça. Qu'est-ce qui ne va pas chez toi ? Tu vas prendre super cher !
14|Nan, je sais bien que je n'ai aucune chance avec elle. Mais... Elle semble t'apprécier. Peut-être que tu pourrais m'aider en fin de compte. Si tu arrives à prendre une photo d'elle avec ses seins à l'air pour moi, alors je regarderai peut-être ailleurs pendant que tu piques une bouteille d'alcool.
15|Ben merde alors ! Je n'arrive pas à croire que tu ais réussi ! Ok, tu peux prendre une bouteille d'alcool de ton choix parmi celles du bar, mais seulement une. Et accessoirement, je garde cet appareil photo.
16|C'est quoi ce bordel ? Je ne suis pas intéressé par tes photos artistiques. Prends une photo de Katherine les seins à l'air si tu veux de l'alcool. Je me suis bien fait comprendre ?
17|Merde alors. J'ai dû la manquer lorsque j'ai rassemblé tout l'alcool. Je suis content que tu partages mes convictions. Je vais te débarrasser de ça !
17.1|Merde, encore une autre ? Tu es vraiment un atout majeur pour ma cause, et je note ta loyauté envers moi.
17.2|Whoa ! Où as-tu trouvé ça ? Merci de me l'avoir apporté. Je note ta participation dans ma croisade.

17.3|Merde alors, j'ai dû la manquer. Merci de m'avoir prévenu. J'apprécie vraiment.
18|Ouais, je pense que c'est acceptable, mais ne dit pas que je n'ai rien fait pour toi.
19|Ecoute. Je ne peux pas risquer de laisser ce thermos en accès libre s'il y a la moindre chance qu'il contienne de l'alcool. Mais, comme l'odeur de l'alcool me rend malade, je ne peux pas l'inspecter moi-même.
20|Le prends pas mal, mais je ne te connais pas suffisamment pour ça. Si tu arrives à me prouver que je peux te faire confiance, on en rediscutera.
21|Tu m'as prouvé que je pouvais te faire confiance. Je suis sûr que tu prendras la bonne décision. Inspecte ce thermos et si aucune odeur d'alcool n'en émane, alors tu pourras le lui rendre.
22|J'ose espérer que tu ne me racontes pas des bobards.
23|Tu as fait le bon choix aujourd'hui. Ne l'oublie jamais. Je garde le thermos avec moi, mais tu as gagné ma confiance. N'hésite pas à me demander si tu as besoin de quoi que ce soit.
24|Tu m'as déjà prouvé ta loyauté et je suis convaincu que tu ne me mentiras pas. De toute façon, si jamais je découvre que tu m'as menti, je t'exploserais la mâchoire pour me faire un collier avec tes dents. Enfin bref, tu peux prendre le thermos.
25|Nan, désolé. Même si je n'arrive pas toujours à le blairer, j'espère quand même qu'il arrivera à le retrouver.
25.1|Cette face de cul ? Même si je savais où était son téléphone, je ne te le dirais pas. Je préfèrerais exploser son téléphone en mille morceaux et les jeter dans la rivière.
26|Mais bien sûr que je peux te dépanner. Attends de gouter ma came. C'est la meilleure du quartier.
27|Au début j'étais aussi en croisade contre la fumette, mais ce n'étais pas bon pour les affaires : qui veux acheter de la marchandise à quelqu'un qui refuse de la tester ? Bref, maintenant je ne fais la chasse qu'aux poivrots.
