[General]
Name|Rachael

[Dialogues]
0|Hé, comment ça va ?
0.1|Je ne crois pas que nous nous soyons déjà rencontrés. Je m'appelle Rachael.
1|Merci ! Ravie de faire ta connaissance également !
2|Sérieusement ? Quel est mon signe astrologique ? C'est la meilleure phrase d'accroche que tu aies pu trouver ?
3|Oh, cette vieille chose ? Haha. Merci, c'est gentil !
4|Oh, Vickie... Oui même si ça fait une éternité que nous ne nous sommes pas croisées. J'ai cru comprendre qu'elle est actuellement dans le coin. Pourquoi, tu la connais ?
5|Ah vraiment ? Alors dans ce cas, comment s'appelle son chien ?
6|Ouais, c'est bien ce que je pensais. Pourquoi n'irais-tu pas voire ailleurs si j'y suis ?
7|Ah, tu es un fan. Comme c'est mignon. Tu sais que je pourrais appeler Vickie pour lui demander de venir ici. Mais pour ça, tu dois d'abord faire quelque chose pour moi.
8|Sérieusement ? Pourquoi est-ce que ça n'arrive qu'à moi ces choses-là ?
9|Eeeewwwww ! Berk ! C'est quoi ton problème ?
10|Je pense que tu devrais te mêler uniquement de tes putains d'affaires.
11|En fait... C'est vraiment stupide. J'ai honte de m'être lancée là-dedans.
12|Ok. En fait, Vickie et moi avons un petit jeu entre nous. En gros, nous nous lançons des défis par SMS pour faire des conneries. Une fois le défi relevé, on envoie une photo comme preuve. Ca fait déjà des semaines que ça dure, et maintenant, les défis sont devenus plus difficiles. La première personne qui foire un défi perd, et deviendra l'esclave de l'autre pendant une semaine... Ce qui signifie que toute la ville finira par me voir toute nue... voir même pire, si je perds ! Quoi qu'il en soit, c'est son tour de me mettre au défi, et c'est pour ça que je suis un peu nerveuse.
13|Va te faire foutre !
14|Vickie ? Ah, oui, elle est géniale. On ne s'ennuie pas quand on sort avec elle. Je m'inquiète juste de ce qu'elle va me faire faire par la suite.
15|Je passais un bon moment jusqu'à ce que Frank me vole mon thermos. Il m'a dit que cela ressemblait à quelque chose dans lequel je pouvais cacher de l'alcool, alors il me l'a confisqué.
16|Euh, nous sommes amis ? Zut alors, je n'ai pas dû recevoir le mémo.
17|Je ne la connais plus aussi bien qu'avant. Nous étions amis quand nous étions à l'école, puis nous nous sommes perdues de vue. Elle a fait quelques allusions pour que j'invite mon ami Vickie à sa soirée, et je pense que c'est pourquoi elle m'a invité.
18|Maintenant que j'y pense, comment as-tu connu Madison ? Je ne pense que tu ne l'as jamais vu auparavant. Comment as-tu pu être invité à sa soirée ?
19|Effectivement. Si tu veux bien m'excuser, je vais aller voir ailleurs si j'y suis.
20|C'est parfaitement logique...
21|Oh, ce serait génial ! Je t'en serais très reconnaissante.
22|Oh wow, tu as réussi ! J'étais sûre que Frank allait te défoncer la gueule. Je ne peux pas le croire ! Maintenant, je peux enfin m'amuser pendant cette saloperie de soirée ! Merci beaucoup !
23|Oh, calmes-toi. Tu es en vie. Et maintenant, nous avons des boissons. Je dirais que les choses ne se sont pas trop mal passées.
24|Ne nous emportons pas. Mais buvons un ch'ti canon !
25|Non, je ne l'ai pas vu, désolé.
26|Euh, bien sûr. Je suppose que c'est acceptable. Tu m'as bien fait une faveur plus tôt. C'est le 555-4242.
27|Euh, nous n'en sommes pas encore à ce niveau... Tu devrais revoir sacrément tes techniques de dragues.
28|Attends, c'est quoi ce délire ? D'abord, tu me demandes mon numéro, et maintenant, tu veux celui de Vickie juste après que je t'ai parlé des défis que nous nous lançons ? Je ne suis pas sûr de ce que tu prévois de faire avec, mais quoi qu'il en soit, tu ferais mieux de laisser tomber tout de suite.
29|Hé ! Je, euh... Je voulais juste que tu sache que je... En fait, j'ai fait un rêve érotique hier soir et tu étais dedans... Oh mon Dieu, c'est tellement embarrassant...
30|Oh mon dieu, Vickie, tu es vraiment une garce. Je n'arrive pas à croire que tu me défie de faire ça. Mais malheureusement, je ne peux pas perdre ce pari. Le gage risque sans doute d'être pire que cela. Ok, c'est parti...
30.1|Mais merde, Vickie. Ou trouves-tu des idées aussi déjantées ? J'ai l'impression que tu as l'esprit pervers d'un développeur de jeux vidéo... 
30.2|Quoi, sérieusement ? T'es sérieuse, Vickie ? Bon, ben quand faut y aller...
30.3|Tu exagères vraiment Vickie. Tu veux vraiment me faire faire ça ?
31|Oh mon dieu. Il fait trop chaud ici. Heureusement que j'étais à la plage cette aprèm et que je porte encore mon bikini...
32|Ne me dis pas que tu veux déjà me faire un câlin...
