[General]
Name|Stephanie

[Dialogues]
0|Re-bonjour étranger ! Comment ça va ?
0.1|Salut. Je m'appelle Stephanie. Alors, quoi de neuf ?
0.2|Éloigne-toi de moi ou j'appelle les flics.
0.3|J'ai grave envie de baiser !
1|Merci ! En fait, j'adore danser !
2|Ravie de te rencontrer également. Oh mon dieu, j'aime TROP cette chanson !
3|Oh, Madison et moi nous connaissons depuis l'école primaire. Je n'aurais jamais pu valider les maths si elle ne m'avait pas laissé copier ses réponses à chaque fois. En fait, je n'aurais probablement pas pu valider l'histoire, les sciences ou l'anglais non plus. Ce n'est pas complètement fou ?
4|Elle est, comment dire ? Comme super intelligente. Si j'avais suivi son exemple depuis l'école primaire, j'aurais pu être une très bonne élève.
5|Cette soirée est sympa, mais dommage qu'il n'y ait pas de gaz hilarant.
6|Tu n'es pas très marrant comme gars, toi.
7|En fait, je me lâche complètement quand je suis sous l'effet de gaz hilarant. Si tu apprécies déjà mes mouvements maintenant, tu n'as encore rien vu !
8|Il me fout un peu les jetons, tu vois. Il est toujours complètement bourré, et il matte toujours mes seins quand je danse.
9|Oh mon dieu ! Tu as trouvé du gaz hilarant ! Tu es mon héros ! Plus je suis défoncée, plus je suis excitée. Tu devrais me voir une fois que j'ai bu du vin ! Attends, est-ce que j'ai vraiment dit ça à voix haute ? Merde, j'ai l'impression de me comporter comme une trainée... Hahaha. Dans tous les cas, je vais totalement me déchainer sur la piste de danse pour toi, et tu pourras même en profiter pour regarder sous ma jupe. Attends, n'était-ce pas trop rentre dedans comme approche ?
10|Merci ! Je suis ravie que tu apprécies mes mouvements. Je t'ai vu regarder sous ma jupe. Continue, ça m'excite.
11|Et puis merde alors ! Tu sais quoi ? On va transformer cette soirée en une superbe fête !
12|Putain, tu as réussi à trouver de l'alcool ? Tu es mon héros ! Même s'il ne reste pas grand-chose dans cette bouteille, au moins, je peux avoir une gorgée ou deux ! Merci !
13|Bien essayé, mais je devrais être sacrément saoule pour ça. Et vu comment se déroule cette soirée, ce n'est pas prêt d'arriver !
14|Tu penses vraiment que je n'étais pas déjà au courant ? Tu casses l'ambiance là. Tu devrais vraiment te relâchez un peu !
15|Essayes-tu de dire que ma danse te fait bander ? C'est un peu excitant.
16|Merde alors ! Tu as réussi à dégoter une autre bouteille de vin ? Tu es le meilleur. Au fait, sais-tu que je peux descendre toute une bouteille en moins d'une minute ? Regarde !
17|Oh mon dieu ! Je suis trop en panique. Ce mec vient juste de jouir sur moi. Beurk. Et la piste de danse est toute dégueulasse maintenant !
18|La crème fouettée contient de l'oxyde nitreux, qui a certains effets secondaires intéressants une fois inhalé.
19|Je suis toujours sérieuse quand il s'agit de drogues.
20|Il fait beaucoup trop froid pour ça. J'ai dansé toute la soirée et pourtant, je ne transpire pas encore.
21|En fait, je ne pensais même pas qu'il puisse avoir un téléphone. Je ne l'ai jamais vu l'utiliser.
22|Attends, quoi ? On est déjà en 2017 ? Zut alors ! J'ai dû manquer mon rendez-vous chez le dentiste...
23|Non, désolé !  Je ne pense pas la connaître.
24|J'ai trop envie de baiser !
25|Attends, ne serais-tu pas un gigolo ? Bien sûr que tu en es un ! J'aurais dû m'en douter ! Et tu prends combien ?
26|Oh waouh. T'es bon marché ! Je pensais devoir payer largement plus que ça ! Affaire conclue ! Faisons-le ici même ! J'en peux plus d'attendre !
27|Whoa, tu comptes faire quoi là ? C'est moi qui paye, je te rappelle. On va s'y prendre à ma façon.
28|Tu comptes commencer quand ? Je te paye pour ça !
29|Si je voulais payer quelqu'un pour parler, j'irais voir un psy.  Arrête de me distraire !
30|Putain, oui.  C'est exactement ce dont j'avais besoin. T'es le meilleur gigolo que je n'ai jamais croisé !  Et voici pour toi. 50 balles comme convenu.
31|Attends, es-tu bourré ? Ou tu danses juste super mal ?
32|Eh bien, ça dépend. C'est pour quelle cause ?
33|Oh ! Pas la peine de faire un concours, ma signature est sûre de gagner !
34|Oh, non, je ne veux pas que ça se produise. Sinon, je ne serais plus, comment on dit déjà ? Au centre de l'ascension ou un truc du style. Tu sais, comment ça s'appelle quand tu veux que tout le monde te regarde ?
35|Dans tes rêves ! La fête est ici ! As-tu déjà entendu cette chanson ? Elle ne vieillit jamais ! J'ai demandé à Madison de la mettre en boucle pour toute la nuit !
