[General]
Name|Ashley

[Dialogues]
0|Re-bonjour. Comment ça va ?
0.1|Salut. Moi, c'est Ashley, je suis la soeur de Madison. Ravie de te rencontrer !
0.2|Par pur hasard, aurais tu trouver quelque chose avec lequel je puisse me sécher ?
1|Erf. Mon imbécile de soeur a renversé sa bière sur moi. Je suis sûre qu'elle l'a fait exprès, même si elle ne l'admettra jamais. Résultat, je suis complètement trempée et je dois trouver un moyen de me sécher.
2|Erf. Par pitié, ne me compare pas à elle. C'est assez tendu entre nous pour le moment.
3|Oh, merci ! C'est vraiment gentil !
4|Tu n'aides pas.
5|Tu ferais ça pour moi ? Attends, comment puis-je être sûre que tu n'es pas de mèche avec Madison et que ce n'est pas juste un autre de ses plans pour m'humilier ? Je ne sais même pas si je peux te faire confiance !
6|Depuis toute petite, elle n'arrête pas de me jouer de sales tours. Elle adore m'humilier, surtout devant ses amis. Une fois, elle a pris tous mes vêtements et toutes les serviettes pendant que je me douchais. J'ai dû sortir de la salle de bain toute nue devant nos invités. C'était horrible ! Pour une fois, j'aimerais tellement que ce soit elle le dindon de la farce.
7|Hum. Tu es un beau mec. Je suis sûre que ma soeur aura probablement un petit faible pour toi. Que dis-tu de ça : Tu la séduis puis tu essayes de la déshabiller dans une des chambres. Ensuite, tu vas chercher Frank et tu le mène à Madison. Elle sera tellement embarrassée ! Ca sera trop épique ! Si tu as besoin de conseils pour la séduire, demande-moi. J'ai volé son journal intime suffisamment de fois pour savoir ce qui la met dans tous ses états.
8|Désolé, mais je ne pense pas que nous nous connaissions suffisamment pour continuer.
9|Oh, tu voudrais m'aider ? En fait, je suis complètement trempée. J'ai besoin de sécher mes vêtements d'une façon ou d'une autre.
10|Parfait ! Merci beaucoup ! Mais ces vêtements empestent encore la bière.
11|Je vais te dire un secret : Madison tient un journal intime. Je l'ai déjà vue écrire dedans plusieurs fois. Elle ne laisse personne le lire. Je ne sais même pas où elle le cache. Si tu peux me le rapporter, je saurai avec certitude que je peux te faire confiance.
12|Putain d'enfoiré ! Ne t'approche pas de moi !
13|Attends, est-ce que c'est le téléphone de Madison ?
14|Oh, ok. C'est vraiment très ressemblant. Tu as même la même coque de protection rose.
15|Hum. Eh bien, si tu cherches à regarder le contenu de son téléphone, je pourrais probablement te fournir son code pin. Mais d'abord, tu dois faire quelque chose pour moi.
16|En fait, ce n'est pas un secret que Madison et moi avons quelques rengaines l'une avec l'autre. J'aimerais vraiment pouvoir prendre ma revanche et la faire payer pour une fois, au lieu que ce soit moi le dindon de la farce. De plus, l'humilier à sa propre soirée serait tout simplement épique.
17|Je pense qu'elle doit garder quelque chose de compromettant dans son téléphone, sinon elle ne changerait pas constamment de code pin. De plus, elle l'écrit dans son journal intime dès fois qu'elle ne s'en rappelle plus. Bref, vois si tu peux trouver son journal intime. Elle pense qu'elle est intelligente en le cachant en tant que numéro de téléphone, mais je sais comment le retrouver. Ramène-moi son journal et je te donnerai le code pin en échange.
18|Impressionnant ! Je ne pensais pas que tu en serais capable, mais je suis heureuse de mettre trompée. Ce journal intime contient tous les mots de passe de Madison. Voici son code pin : 1337. J'ai maintenant accès à tous ses comptes ! Facebook, Instagram... Oh, ça va être génial !
19|Je suppose que tu as pris de gros risques pour récupérer ce journal. Madison t'aurait tuée si elle t'avait pris en flagrant délit. Ok, suis-moi. Nous allons dans un endroit plus intime où je pourrais me changer.
20|D'accord. Et voilà. Au fait, merci d'avoir veiller sur moi. Tu t'en es très bien sorti ! Oh, et s'il te plaît, ferme la porte derrière toi !
21|Pourrais-tu fermer la porte pour commencer ?
22|Erf. Je ne me sens pas bien tout d'un coup.
23|Hum. Il y a trop de monde dans cette pièce pour que je me déshabille maintenant...
24|Euh... Ton machin... est de sorti.
24.1|Je pourrais imaginer faire quelques petites choses avec ça...
25|En fait, j'ai vraiment soif, et je ne peux pas aller me chercher un soda dans le réfrigérateur habillée comme ça. Pourrais-tu aller m'en chercher un ?
26|Oh, merci beaucoup ! Tu es le meilleur !
27|Oh mon Dieu. J'ai besoin d'aller aux toilettes rapidement !
28|Merde, qui a verrouillé la porte de la salle de bain ? Tu l'as fait exprès, n'est-ce pas ?
29|Pas croyable ! Celle-là aussi est verrouillée ! La dernière salle de bain est.. *glups* ..en bas. Ok, respire profondément, Ashley. Tu peux le faire...
