[General]
Name|Katherine

[Dialogues]
0|As-tu besoin de quelque chose ?
1|Pfff. Tu agis comme si tu me rendais une faveur et tu vas me donner quelques verres pour me rendre ivre, en espérant que je perde mes facultés mentales et que je fasse un choix que je regretterais plus tard. En plus, ça te donne une chance de conclure ce soir. J'ai bien résumé l'idée générale ? Bref, essaye avec quelqu'un d'autre.
2|Erf. Comme si.
3|Oui, mon copain est censé me retrouver ici, mais à tous les coups, il m'a posé un lapin.
4|Et si nous cessions de parler ?
5|En fait, c'est assez gentil de ta part. J'aimerais tellement qu'il se comporte mieux.
6|Oh, c'est un peu philosophique comme réponse. Y a peut-être deux ou trois neurones d'interconnectés dans ton ciboulot.
7|Tu sais quoi ? Je pourrais bien te prendre au mot après tout, et même contre toute attente. Mon copain ne me répond toujours pas.
8|Ah, oui, sa petite campagne de bienséance. En fait, je suis exempt de ses règles parce qu'il ne frappe pas les femmes. Dis-lui simplement que l'alcool est pour moi. J'irais bien me chercher moi-même un verre, mais je capte que dans cette pièce.
9|Erf. Je ne peux pas la supporter. Elle est tellement stupide. Mais bon, d'un autre côté, elle est plus proche de ton niveau d'intelligence... Tu auras plus de chances de conclure avec elle qu'avec moi ce soir.
10|Désolé mais j'attends des messages et un appel très important que je ne veux absolument pas manquer, et c'est la seule pièce dans laquelle j'arrive à capter le moindre signal. Tu vas devoir trouver une autre solution.
11|Bien dit ! Bon, je suis prête. Vas-y, prends-la cette photo !
12|Quel emmerdeur ce Frank. Quel connard. Arf, tant pis. Je ne pense pas que mon copain viendra et ça risque d'être le seul moyen de boire un verre ce soir... Je suppose qu'une petite exhibe rapide ne peut pas faire de mal. Dépêche-toi de la prendre cette photo !
13|Tu es sérieux ? Une exhibe rapide est une chose, mais je ne vais pas me déshabiller devant tous ces gens. Si tu arrives à tous les faire partir, alors dans ce cas, tu pourras la prendre cette photo.
14|Hum. Je suppose qu'être ivre et inconscient au sol ne permet pas d'être compté comme présent dans la pièce. Alors ok. Si c'est la seule façon pour moi de boire un verre ce soir, qu'il en soit ainsi. Dépêche-toi de la prendre cette photo.
15|Quel pervers ! Alors tant pis. Je vais lui dire ce que j'en pense !
16|Je ne pense pas que ça te concerne, n'est-ce pas ?
17|Donc si je ne portais pas de lunettes, je serais juste une nana stupide ? Tu n'arranges pas ton cas là... Va voir ailleurs si j'y suis.
18|Ew. Est-ce que j'ai l'air de boire de cette merde ?
19|Mon copain m'énerve suffisamment tout seul ce soir, je n'ai pas besoin que tu en rajoutes. Range-moi tout de suite cette horreur qui te sert de pénis !
20|Espèce de putain de connard. Pour qui te prends-tu ? Attends de voir la réaction de mon copain quand il va en entendre parler ! Tes jours sont comptés, connard !
21|Ouais, j'ai aussi remarqué qu'il s'est encore mis en mode croisade contre l'ivresse. Si tu trouves un moyen, fais-moi signe et je t'aiderais si je peux.
22|Erf. Le service de téléphonie mobile laisse fortement à désirer ici ! Il doit bien y avoir un endroit dans cette maison où on capte quelque chose.
22.1|C'est quoi ce bordel ? Je ne capte plus ! Existe-t-il un coin dans cette maison où on aurait une couverture décente ?
22.2|Quelle merde. Toujours pas de signal. Il faut que j'essaye à un autre endroit.
23|Ce putain d'idiot ! Et puis quoi encore ? Je ne vais pas me déshabiller au milieu de cette soirée avec toutes ces personnes autour. Et on ne capte pas grand-chose dans cette maison. J'ai beaucoup trop de messages importants en cours, et je ne capte que dans cette pièce. Débrouille-toi pour faire partir tout le monde d'ici si tu veux prendre une photo de moi déshabillée.
24|Es-tu aveugle ? Il y a beaucoup trop de monde autour. Je ne vais pas me déshabiller ici.
25|Bon, on dirait que personne d'autre n'est présent. Je suppose qu'on peut y aller. Bref, dis-moi quoi faire.
26|Je t'ai à l'oeil... Que dois-je faire ?
27|Ok. Comment dois-je poser ?
28|Je suppose que tu as raison. Frank a intérêt à tenir parole.
29|Trop, c'est trop. Tant pis. J'arrête là. Débrouille-toi avec ce que tu as et ramène-moi un verre !
30|Et il est ou ton appareil photon, crétin ?
31|Ew, est-ce que j'ai l'air de boire de cette merde ?
32|Je ne bois pas de bière ou de vin. Ramène-moi un bon rhum pour que je puisse oublier cette soirée merdique.
