[General]
Name|Madison

[Dialogues]
0|Re-bonjour. Es-tu perdu ?
0.1|Oh salut, comment vas-tu ? Est-ce que tout va bien ? Que puis-je faire pour toi ?
0.2|Euh, on se connait ?
0.3|As-tu réussi à retrouver mon téléphone dans la salle de bains ? Je pense que je l'ai laissé près du lavabo.
0.4|Comment se déroule notre plan ?
0.5|Que veux-tu ?
0.6|Ca serait génial si tu pouvais me foutre la paix.
1|Oh, que c'est gentil. Je m'appelle Madison. C'est moi qui ai organisé cette soirée. Ravie de faire ta connaissance !
2|Bien sûr, quand tu entres dans la chambre à coucher principale à l'étage, c'est la première porte sur ta gauche. Tant que j'y pense, j'ai laissé mon téléphone là-bas. Pourrais-tu être un amour et me le rapporter ?
3|Oh mon dieu ! Tu m'as ramené mon téléphone ! Merci beaucoup !
4|Elle est en train de manigancer quelque chose, j'en suis sûre ! Ma petite soeur tout craché, n'est-ce pas ? Je suis plutôt sur les nerfs parce que si elle manigance quelque chose contre moi pendant ma soirée, ça serait vraiment très embarrassant.
5|Laisse-moi deviner, il te fait un sermon sur l'ivresse ? C'est du Frank tout craché. Je ne sais même pas qui a osé l'inviter à ma soirée. Il nous pourrit l'ambiance. J'apprécierais beaucoup si tu trouves un moyen de le faire partir.
6|Ne serais-tu pas un peu audacieux ? Aide-moi à jouer une farce à ma soeur, et tu sais quoi ? Il se pourrait qu'il y ait bien plus qu'un simple baiser qui t'attends comme remerciements, si tu vois ce que je veux dire.
7|Ok, alors voici le topo. J'ai déjà "accidentellement" renversé de la bière sur Ashley. J'ai verrouillé ma penderie afin qu'elle ne puisse pas m'emprunter de vêtements. Mon plan est simple : d'abord elle doit penser que sa seule option est de se déshabiller afin de pouvoir laver ses vêtements. Une fois que nous avons mis ses vêtements à laver, il ne nous restera plus qu'à la forcer de se promener toute nue devant tous mes invités. Charmes Ashley afin qu'elle te fasse suffisamment confiance pour que tu puisses laver ses vêtements pour elle. Puis trouve un moyen de la faire sortir de sa cachette.
8|J'ai déjà essayé de lui dire que tout le monde se moque de la taille de ses seins. Mais à quoi bon ? Je sais que les miens ne sont pas aussi gros que les siens, mais je me ballade toujours avec une bonne moitié exposée par mon décolleté, et ça ne me gêne pas du tout ! C'est vraiment qu'une pleurnicheuse. Au fait, pas la peine de jouer la carte du bon samaritain avec elle, c'est une lesbienne. Donc ça ne te mènera probablement nulle part.
9|Frank est un type bizarre. Il est en croisade contre l'ivresse, et apparemment ça ne gêne personne. Il est en train de pourrir ma soirée vue comment c'est parti. Je ne sais même pas qui l'a invité, mais je n'ose pas lui demander de partir.
10|Quelle garce ! Eh bien, je suis contente que tu sois de MON côté ! Nous allons lui donner un avant-goût de sa propre médecine : je vais me débrouiller pour qu'elle se pavane à poil devant tout le monde ! Tu es partant ?
11|Génial ! Voici le plan : Je vais aller "accidentellement" renverser de la bière sur Ashley. Ensuite, vas la réconforter.
12|Oh mon dieu, c'était tellement génial la manière dont tu as déboutonné le haut d'Ashley ! La tronche qu'elle a tirée lorsqu'elle a couru vers la salle de bain est inestimable !
13|Erf, qu'est-ce qu'elle peut bien me vouloir ? Ok, je vais aller la voir. Merci.
14|Merde, vraiment ? J'ai, euh... des documents importants dedans. Je devrais aller le chercher moi-même.
15|Qu'est-ce que... Mais, c'est mon journal intime ! Je vais chercher Frank. Tu es un homme mort, fils de pute !
16|Hé, comment ça va ?
16.1|Qui t'as invité à cette soirée ?
16.2|Va voir ailleurs si j'y suis, connard.
16.3|Salut, comment vas-tu ?
16.4|Salut mon gros lapin. Comment vas-tu ?
16.5|J'ai oublié si j'ai mis une culotte ce matin... Tu veux vérifier ?
16.6|Oh. Désolé, je vais te laisser passer.
17|Qu'est-ce que vous foutez tous les deux ? Si vous comptez me jouer un tour, faites-le au moins quelque part où je ne peux pas vous entendre. Vous êtes aussi idiots l'un que l'autre.
18|Je suis presque sûr que Rachael était dans sa classe. Elle doit encore être en contact avec elle.
19|Putain de merde ! Tu as récupéré les habits d'Ashley ! Je ne pensais pas que tu en serais capable ! Maintenant, il suffit de trouver un moyen de la faire sortir de sa cachette. Je ne peux pas t'aider, parce que sinon, je n'ai pas fini d'en entendre parler si jamais elle apprend que je suis derrière tout cela. Je vais prendre ses vêtements.
