[General]
Name|Patrick

[Dialogues]
0|Comment va ?
0.1|Ca va ? As-tu réussi à me trouver de l'aspirine ?
0.2|Mais... C'est mon meilleur pote ! Ca va ?
0.3|Je suis complètement saoul !
1|Frank le Tank ? Hic ! Il ne me fait pas peur.
2|J'ai un sacré mal de tête. J'aurais vraiment besoin d'un cachet d'aspirine. Tu ne saurais pas où je pourrais en trouver par hasard ?
3|Whoa, tu m'as dégoté de l'aspirine. Merci beaucoup. Maintenant, nous sommes potes pour la vie. Fais-moi signe si tu as besoin de quoi que ce soit.
4|Madison et moi sommes cousins même si elle ne l'admettra jamais. La plupart du temps, elle prétend qu'elle ne me connaît pas. Ce n'est pas plus mal. Je ne l'aime pas particulièrement et elle non plus. Mais nos parents sont super proches et elle se ferait engueuler si elle me laissait à l'écart. Quoi qu'il en soit, je suis juste ici pour les boissons gratuites.
5|C'est facile. A chaque fois que je vois Frank, je la planque dans mon pantalon ! Je suis arrivé ici avant lui, et quand il a commencé à regrouper toutes les boissons alcoolisées, j'ai caché cette bouteille dans mon pantalon. J'en ai déjà bu la moitié et je me sens trop bien. Un ch'ti canon ?
6|Whoa ! Je peux voir ta teub ! Et en plus, tu en as une plus grosse que moi ! J'ai besoin d'un autre verre.
7|Tu ne me croiras jamais ! J'étais tranquille dans mon coin quand il est venu vers moi. J'ai perdu ma bouteille de vin et il garde tout le reste de l'alcool. Je pense que je suis en train de dessoûler. Ce n'est vraiment pas cool.
7.1|Tu ne me croiras jamais ! J'étais tranquille dans mon coin quand il est venu vers moi. Enfin bref, j'ai retrouvé ma bouteille, donc tout va bien.
8|C'est quoi ce bordel ? Essayes-tu de cacher de l'alcool ? Je vais te casser la gueule, connard !
9|Merde, est-ce qu'il pleut ? Attends, je ne suis pas dehors... Waouh, quel trip. J'ai besoin d'un autre verre.
10|Trop cool ! Je vais prendre une gorgée de vin ! Merci mon pote ! Tu es le meilleur !
11|Merde alors ! Merci de m'avoir prévenu ! Frank surveille tout ce qu'il a ramassé, et j'ai besoin de garder mon taux d'alcoolémie élevé !
12|Parfaitement ! Je l'ai... Euh, commet dire ? En fait, je ne me rappelle plus où je l'ai mis. Ma mémoire n'est pas très bonne quand j'ai bu. Je le donne à quelqu'un pour qu'il le garde quand je commence à être bourré.
13|Pas de soucis ! Je vais le chercher et tu vas me le garder au chaud jusqu'à ce que je sois sobre. Ce sera certainement avant Mardi.
14|Britney ! Comment vas-tu ? Est-ce que je peux récupérer mon téléphone maintenant ?
15|Ouais, mais mon meilleur pote ici présent en a besoin. Je pense qu'il doit appeler sa moman.
16|Te voilà ! Désolé, j'ai essayé de récupérer mon téléphone mais Brittney ne me le rendra que quand je serais sobre. Tu vas devoir attendre Mardi.
17|Non merci à toi ! J'ai du vin ! D'ailleurs, si je bois un café, je risque de dessoûler. Ca serait vraiment dommage.
18|N'y compte même pas. C'est déjà nul que j'ai perdu ma bouteille. Mais si je bois ça, je risque de devenir complètement sobre.
19|Whoa, pourquoi ne m'as-tu pas dit que c'était un Irish coffee ? Cool !
20|Merci ! Ca va me permettre de garder mon niveau d'alcoolémie élevé !
21|Attends, es-tu certain que ce soit un Irish coffee ? Mon taux d'alcoolémie est retourné à zéro.
22|Whoa, ce café est glacé. Est-ce que tu peux aller me le réchauffer ?
23|Oh ouais, pas de problème ! Laisse-moi aller le récupérer.
24|Brittney ! Je suis sobre maintenant ! Est-ce que je peux récupérer mon téléphone ?
25|Désolé ! Je ne pense pas que je te connaisse suffisamment pour te le laisser. Rien de personnel, je dois juste faire gaffe à mes affaires, tu comprends ?
26|Whoa ! Merci mon pote ! Tu as retrouvé ma bouteille ! J'ai dû la laisser tomber quand Frank m'a frappé.
27|Merci mon pote !
28|Hé ! Brittney m'a enfin rendu mon téléphone. Le voici. Tu peux l'utiliser, par contre, promet moi que tu ne me le rendras uniquement si je ne suis plus en état d'ébriété, ok ?
29|Même pas en rêve ! Je ne touche pas à ça. Ca me pourris mon taux d'alcoolémie.
30|Whoa. C'est une idée géniale ! A deux contre un, je pense que Frank n'a aucune chance de s'en tirer. Mais je n'ose pas me battre sobre contre lui. Je t'aiderais si tu me dégote une bonne bouteille.
31|Whoa, un cadeau, pour moi ? C'est une très belle flasque, mais je ne peux pas l'accepter... Je veux dire, elle est vide...
